Programme,ML,IR,Statistics,Databases,Gender,Chocolate,Neighbors,Stand-up,Stress-level,Random-number,Time2bed,Age
AI,no,0,mu,ja,male,neither,0,no,66,487,03:00:00,24
Others,no,0,mu,ja,male,neither,5,no,10,8,01:30:00,23
AI,yes,0,mu,nee,female,fat,0,unknown,87,42,01:45:00,21
CS,no,0,mu,ja,male,unknown,1,no,50,11,,25
CS,no,1,mu,ja,male,unknown,0,no,45.8,47895734,,unknown
AI,no,0,mu,ja,female,neither,5,no,10,2,,unknown
AI,no,0,mu,nee,male,neither,2,no,70,666,23:00:00,40
AI,no,0,sigma,nee,others,unknown,0,no,100,893,00:15:00,22
CS,no,0,sigma,nee,female,unknown,2,no,70,11,00:00:00,25
CS,yes,0,mu,nee,others,fat,8,no,100,99,,unknown
Others,unknown,1,mu,ja,male,unknown,1,yes,50,7,00:30:00,22
CS,yes,1,sigma,ja,male,slim,0,no,0,30,00:30:00,unknown
QRM,no,0,mu,nee,male,unknown,unknown,no,unknown,548293748291457322680525896237,23:00:00,21
CLS,no,0,mu,nee,male,neither,0,no,2,235236236,,unknown
CLS,no,0,mu,nee,others,slim,2,unknown,50,222223,,19
CLS,no,0,mu,nee,male,neither,0,yes,50,8,,26
CLS,no,0,mu,nee,male,fat,1,no,65,50,01:00:00,unknown
BA,yes,0,mu,nee,male,neither,2,no,10,7,00:30:00,32
AI,yes,0,mu,nee,male,neither,0,no,30,73,,unknown
BA,yes,1,mu,ja,male,unknown,0,no,0,626,,24
CS,no,0,mu,ja,male,fat,1,no,38,42,,unknown
CS,yes,0,sigma,ja,male,neither,1,no,50,69420,02:00:00,23
Others,yes,1,mu,ja,female,fat,0,no,1,37,,24
CLS,no,0,mu,ja,male,neither,4,no,80,29,02:00:00,24
AI,unknown,0,mu,ja,female,fat,unknown,no,unknown,9,,27
AI,yes,1,mu,ja,male,neither,1,no,42,8,,24
CLS,no,0,sigma,nee,male,slim,1,unknown,10,6969,23:00:00,24
Others,yes,0,mu,nee,male,fat,0,no,60,56,00:00:00,25
Others,no,0,sigma,nee,female,slim,4,no,20,375,23:00:00,unknown
CS,yes,unknown,sigma,ja,male,fat,1,no,60,420,01:00:00,26
AI,yes,1,mu,ja,male,unknown,0,unknown,0,007,,unknown
CS,no,0,mu,nee,male,fat,0,no,62,unknown,01:30:00,unknown
CS,yes,0,unknown,nee,male,neither,0,no,40,9,01:00:00,unknown
AI,no,0,mu,ja,female,neither,0,no,50,75,02:30:00,unknown
AI,yes,1,unknown,nee,others,fat,2,no,30,6,,66
Others,yes,1,mu,ja,male,slim,unknown,yes,9,0,,unknown
CLS,no,0,mu,nee,male,unknown,0,no,100,123,,27
AI,yes,0,mu,nee,others,neither,0,yes,70,7,,unknown
CS,yes,1,mu,ja,male,neither,0,no,66,789458455584851844184,04:00:00,24
